condition,model,persona_age,persona_gender,persona_is_student,schmitt_gender,bauer_gender,deontic_1,deontic_2,deontic_3,prosocial_1,prosocial_2,prosocial_3,individualistic_1,individualistic_2,individualistic_3,competitive_1,competitive_2,competitive_3,humble,kind,forgiving,giving,helpful,grateful,empathetic,cooperative,courageous,fair,principled,responsible,just,honest,trustworthy,loyal
no_wb,gemini-2.5-pro(Gemini),32,female,True,male,male,1,1,1,1,1,1,5,5,5,1,1,1,2,2,2,2,1,2,3,1,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),32,female,False,female,female,1,1,1,3,4,3,5,6,5,2,1,1,3,4,3,3,1,3,4,2,1,1,1,1,1,1,1,2
internal_wb,gemini-2.5-pro(Gemini),36,male,False,male,male,6,6,6,5,4,5,2,2,2,1,1,1,3,2,1,2,6,2,4,5,5,6,6,6,6,6,6,5
internal_wb,gemini-2.5-pro(Gemini),43,female,False,female,female,6,6,6,5,5,5,2,2,1,2,1,1,3,2,1,2,5,1,3,5,5,6,6,6,6,6,6,4
external_wb,gemini-2.5-pro(Gemini),43,female,False,female,male,6,6,6,5,5,5,2,2,1,2,1,1,3,2,1,2,5,1,4,4,6,6,6,6,6,6,6,5
external_wb,gemini-2.5-pro(Gemini),42,female,False,male,female,6,6,6,5,5,5,2,2,2,2,1,1,3,2,1,2,5,1,3,4,6,6,6,6,6,6,6,5
public_wb,gemini-2.5-pro(Gemini),37,male,True,male,female,6,6,6,5,5,5,1,1,1,2,2,2,3,2,1,3,5,3,4,1,6,6,6,6,6,6,4,1
public_wb,gemini-2.5-pro(Gemini),59,female,False,male,male,6,6,6,6,6,6,2,2,2,3,2,3,2,2,1,3,5,1,3,2,6,6,6,6,6,6,5,2
no_wb,gemini-2.5-pro(Gemini),32,female,True,male,male,1,1,1,1,1,1,5,6,5,1,1,1,3,2,2,2,1,2,3,2,1,1,1,1,1,1,1,3
no_wb,gemini-2.5-pro(Gemini),36,male,False,male,male,1,1,1,2,2,2,4,5,4,1,1,1,3,2,3,2,1,2,2,4,1,1,1,1,1,1,1,4
no_wb,gemini-2.5-pro(Gemini),43,female,False,female,female,1,1,1,4,4,4,5,5,5,1,1,1,3,4,2,2,4,2,5,4,1,1,1,1,1,1,1,4
no_wb,gemini-2.5-pro(Gemini),43,female,False,female,male,1,1,1,2,3,2,5,5,5,1,1,1,3,2,2,2,2,2,3,2,1,1,1,1,1,1,1,4
no_wb,gemini-2.5-pro(Gemini),42,female,False,male,female,1,1,1,2,2,2,5,5,5,1,1,1,3,2,3,1,2,1,3,2,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),37,male,True,male,female,1,1,1,4,4,4,5,5,5,1,1,1,3,3,2,2,2,2,4,2,1,1,1,1,1,1,2,5
no_wb,gemini-2.5-pro(Gemini),59,female,False,male,male,1,1,1,1,1,1,5,5,5,1,1,1,2,2,2,2,1,2,2,3,1,1,1,1,1,1,1,3
no_wb,gemini-2.5-pro(Gemini),36,female,False,female,female,1,1,1,2,2,2,5,6,5,1,1,1,3,2,2,1,2,2,3,2,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),45,female,True,male,male,1,1,1,1,2,2,5,5,4,2,1,1,3,3,3,2,1,2,2,2,1,1,1,1,1,1,1,3
no_wb,gemini-2.5-pro(Gemini),41,female,False,male,male,1,1,1,2,2,2,5,6,5,1,1,1,2,3,2,2,3,2,4,4,1,1,1,1,1,1,1,4
no_wb,gemini-2.5-pro(Gemini),37,female,True,male,male,1,1,1,2,2,2,5,5,5,1,1,1,3,2,3,2,1,3,2,2,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),25,male,False,female,male,1,1,1,4,4,4,5,5,4,1,1,1,3,3,2,2,3,1,4,2,1,1,1,1,1,1,2,6
no_wb,gemini-2.5-pro(Gemini),57,female,False,female,female,1,1,1,4,5,4,4,5,4,1,1,1,3,4,3,2,4,2,4,2,1,1,1,1,1,1,1,6
no_wb,gemini-2.5-pro(Gemini),22,female,False,male,female,2,1,1,5,5,5,4,4,4,1,1,1,3,4,2,2,5,2,4,5,1,1,1,1,1,1,1,6
no_wb,gemini-2.5-pro(Gemini),51,female,True,female,male,1,1,1,2,2,2,5,5,5,1,1,1,3,2,2,2,1,2,3,1,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),30,female,True,male,female,1,1,1,4,4,4,5,5,5,1,1,1,3,2,3,3,2,3,4,2,1,1,1,1,1,1,1,2
no_wb,gemini-2.5-pro(Gemini),26,male,False,female,female,1,1,1,4,4,4,5,5,4,2,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,1,1,5
no_wb,gemini-2.5-pro(Gemini),27,female,True,male,male,1,1,1,2,2,2,5,5,4,1,1,1,2,2,3,2,2,2,3,2,1,1,1,1,1,1,1,2
