condition,model,persona_age,persona_gender,persona_is_student,schmitt_gender,bauer_gender,deontic_1,deontic_2,deontic_3,prosocial_1,prosocial_2,prosocial_3,individualistic_1,individualistic_2,individualistic_3,competitive_1,competitive_2,competitive_3,humble,kind,forgiving,giving,helpful,grateful,empathetic,cooperative,courageous,fair,principled,responsible,just,honest,trustworthy,loyal
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),32,female,True,male,male,5,5,5,2,2,2,6,6,6,1,1,1,3,2,3,2,2,2,3,3,3,4,4,3,3,2,2,3
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),32,female,False,female,female,6,6,5,4,5,5,1,1,1,2,2,3,3,4,3,3,4,3,4,2,4,3,5,3,4,2,2,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),36,male,False,male,male,1,1,1,2,2,2,5,5,5,2,2,5,4,4,5,3,3,2,4,3,3,5,5,5,5,1,2,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),43,female,False,female,female,6,6,6,1,1,1,1,1,1,1,1,1,5,3,2,3,4,2,3,4,3,5,6,4,6,6,2,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),43,female,False,female,male,6,5,6,5,6,6,4,2,4,1,1,1,2,5,2,2,5,2,5,5,3,6,6,6,6,6,5,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),42,female,False,male,female,6,6,6,6,6,6,1,1,1,1,1,1,4,6,2,5,5,3,4,5,1,6,5,5,5,2,4,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),37,male,True,male,female,4,3,5,2,2,2,2,3,3,5,2,2,3,4,4,3,4,3,4,3,2,5,4,5,5,4,3,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),59,female,False,male,male,6,5,6,6,6,6,1,1,1,1,1,1,4,6,4,5,6,3,5,6,3,5,6,6,5,6,6,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),36,female,False,female,female,2,5,6,6,6,6,2,2,2,1,1,1,4,5,3,4,6,3,4,5,2,6,6,5,5,6,6,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),45,female,True,male,male,6,6,6,6,6,6,1,2,2,1,1,1,5,4,4,5,6,4,5,6,5,5,6,6,6,3,3,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),41,female,False,male,male,5,6,6,6,6,6,2,2,2,1,2,2,4,6,4,6,6,3,6,6,4,6,6,6,6,5,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),37,female,True,male,male,6,6,6,6,6,6,2,3,2,1,1,1,4,6,4,6,6,3,6,6,3,6,5,6,6,6,6,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),25,male,False,female,male,6,6,5,1,1,1,2,2,1,1,2,2,4,4,4,4,5,4,4,3,2,5,5,5,4,5,2,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),57,female,False,female,female,5,5,6,3,3,2,6,5,6,2,2,4,4,4,3,3,3,3,5,4,2,4,5,2,4,6,4,3
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),22,female,False,male,female,4,6,5,5,2,1,1,2,2,1,1,1,3,6,2,5,5,2,5,4,3,6,6,6,6,6,6,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),51,female,True,female,male,3,2,5,1,1,1,6,6,5,3,4,4,3,2,3,2,3,3,2,3,3,2,4,4,4,2,2,3
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),30,female,True,male,female,6,6,6,1,2,1,1,2,1,2,2,1,4,4,4,4,5,4,4,2,1,2,4,4,2,2,2,2
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),26,male,False,female,female,5,5,5,5,2,5,1,1,1,1,1,2,5,6,5,6,6,5,6,6,5,6,6,6,6,4,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),27,female,True,male,male,6,5,5,5,4,5,3,4,2,1,2,3,2,4,3,2,5,2,3,5,2,4,5,5,5,2,3,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),47,female,False,female,male,4,6,6,2,3,2,2,2,2,1,3,3,4,4,4,3,5,4,3,4,3,5,6,5,5,6,5,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),34,female,False,female,male,6,6,6,6,2,2,3,6,6,1,1,1,4,6,2,4,4,3,6,4,4,6,6,6,6,6,1,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),39,female,False,female,female,4,4,4,1,1,1,2,2,2,1,1,1,3,5,5,3,3,3,4,4,4,5,5,5,5,5,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),19,female,False,female,female,6,5,4,5,5,5,1,1,1,1,1,1,2,4,3,3,3,2,3,3,2,4,5,3,4,2,3,3
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),18,female,False,female,male,6,6,6,6,5,5,2,2,2,1,1,1,3,5,2,3,5,4,4,2,2,2,5,5,5,1,1,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),18,female,False,female,female,6,6,5,6,6,6,1,1,1,1,1,1,4,6,3,5,5,5,5,4,4,6,6,6,6,6,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),42,female,True,male,male,6,6,6,4,6,3,1,1,1,1,1,1,2,4,3,3,5,3,4,4,2,4,2,4,4,2,2,3
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),44,female,True,female,male,5,5,6,2,4,3,1,1,1,1,1,1,4,6,4,5,5,3,5,4,3,6,6,6,6,6,4,5
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),18,female,False,female,male,4,6,6,1,1,1,2,1,2,1,1,2,3,3,2,1,1,3,2,2,2,2,5,5,4,1,1,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),24,female,True,female,female,3,5,4,1,1,1,1,1,2,1,2,2,4,3,3,2,2,4,3,4,2,5,3,2,4,1,2,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),20,female,False,female,male,6,6,6,5,5,4,2,2,2,6,6,6,3,5,4,5,6,4,5,6,4,6,6,6,5,6,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),56,female,False,female,male,6,4,4,4,2,5,1,1,1,1,1,1,3,4,3,4,4,2,3,3,2,3,4,5,2,1,2,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),18,male,False,female,female,6,6,6,5,5,5,2,2,2,1,1,1,3,5,3,5,5,3,4,4,2,4,5,5,5,6,4,4
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),29,female,False,male,male,6,6,6,5,1,2,1,1,1,1,1,1,4,5,4,3,6,3,5,6,4,6,5,6,4,2,6,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),38,female,False,female,male,6,6,6,6,5,6,1,1,1,1,1,1,5,6,4,5,6,4,6,6,3,6,6,6,6,6,5,6
no_wb,meta-llama/Llama-3.1-8B-Instruct(HF Inference API),21,female,False,male,male,2,2,2,2,2,2,6,6,6,2,2,2,3,2,3,2,2,3,2,2,2,2,3,4,3,5,2,2
