condition,model,persona_age,persona_gender,persona_is_student,schmitt_gender,bauer_gender,deontic_1,deontic_2,deontic_3,prosocial_1,prosocial_2,prosocial_3,individualistic_1,individualistic_2,individualistic_3,competitive_1,competitive_2,competitive_3,humble,kind,forgiving,giving,helpful,grateful,empathetic,cooperative,courageous,fair,principled,responsible,just,honest,trustworthy,loyal
no_wb,gpt-oss-120b(Cerebras),47,female,False,male,male,2,2,2,2,2,2,5,5,5,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),47,female,False,female,female,2,2,2,1,2,1,4,5,4,2,2,2,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),52,male,False,male,male,1,1,1,1,1,1,4,4,3,1,1,1,3,3,3,1,1,3,3,1,1,1,1,1,1,1,1,4
no_wb,gpt-oss-120b(Cerebras),61,male,False,female,female,2,2,2,2,2,2,3,3,1,2,1,1,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),62,female,False,female,male,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
no_wb,gpt-oss-120b(Cerebras),60,female,False,male,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),54,male,False,male,female,2,2,2,2,2,2,5,5,4,2,2,2,4,3,3,3,2,3,3,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),82,male,False,male,male,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,2,3,3,1,2,2,2,1,1,1,4
no_wb,gpt-oss-120b(Cerebras),53,female,False,female,female,2,2,2,2,2,2,5,4,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),64,male,False,male,male,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),59,female,False,male,male,1,1,1,1,1,1,5,5,5,2,2,2,4,2,3,2,2,3,2,2,1,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),54,female,False,male,male,2,2,2,2,2,2,5,5,5,2,2,2,3,3,3,2,2,3,3,2,2,2,2,3,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),38,male,False,female,male,2,2,2,2,2,2,5,5,5,2,2,1,4,2,3,2,2,3,3,2,2,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),80,female,False,female,female,2,2,2,2,2,2,4,4,4,2,2,2,3,3,3,2,2,3,2,4,2,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),34,female,False,male,female,2,2,2,2,2,2,5,5,5,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),71,female,False,female,male,2,2,2,2,2,2,5,5,5,2,2,2,3,3,4,2,2,3,2,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),44,female,True,male,female,1,1,1,1,1,1,4,4,4,1,1,1,3,2,3,2,2,3,3,2,1,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),40,male,False,female,female,1,1,1,1,1,1,5,5,4,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),41,female,False,male,male,2,2,2,2,2,2,5,4,4,2,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),66,female,False,female,male,1,1,1,1,1,1,5,5,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),49,female,False,female,male,1,1,1,1,1,1,5,5,5,1,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
no_wb,gpt-oss-120b(Cerebras),56,female,False,female,female,2,2,2,2,2,2,5,5,5,3,2,2,3,3,4,2,2,3,3,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),31,male,False,female,female,2,2,2,2,2,2,5,5,4,3,2,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),28,female,False,female,male,3,2,2,2,2,2,5,5,5,2,2,2,4,3,3,2,2,3,3,3,2,2,2,2,2,2,3,4
no_wb,gpt-oss-120b(Cerebras),27,female,False,female,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),61,male,False,male,male,2,2,2,2,2,2,4,4,4,2,2,2,4,3,4,2,2,3,3,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),63,female,False,female,male,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,3,3,2,2,1,2,2,1,2,5
no_wb,gpt-oss-120b(Cerebras),18,female,False,female,male,1,1,1,1,1,1,5,5,5,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,3
no_wb,gpt-oss-120b(Cerebras),37,female,False,female,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),52,female,False,male,male,1,1,1,1,2,2,4,4,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),31,female,False,female,female,2,2,2,2,2,2,4,5,4,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,5
no_wb,gpt-oss-120b(Cerebras),31,female,False,female,male,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),78,female,False,female,male,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),18,male,False,female,female,1,1,1,1,1,1,5,5,5,2,2,1,2,1,2,1,1,2,2,2,2,2,1,2,1,1,1,4
no_wb,gpt-oss-120b(Cerebras),43,female,False,male,male,1,1,1,2,2,2,4,4,4,2,2,2,3,2,4,2,2,2,3,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),55,male,False,female,male,2,2,2,2,2,2,5,5,4,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),33,male,False,male,male,2,2,2,2,2,2,5,5,5,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),34,male,False,male,male,1,1,1,1,1,1,5,5,5,2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,2,1,1,2
no_wb,gpt-oss-120b(Cerebras),59,female,False,female,female,2,2,2,2,2,2,5,5,5,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),44,male,False,female,male,2,2,2,2,2,2,5,5,5,1,1,1,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),26,female,False,male,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),35,female,False,male,male,2,2,2,2,2,2,4,4,4,2,1,1,4,3,4,2,2,3,3,4,2,3,2,3,2,2,3,5
no_wb,gpt-oss-120b(Cerebras),30,female,False,male,female,1,1,1,1,1,1,5,5,4,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
no_wb,gpt-oss-120b(Cerebras),55,female,False,female,male,2,2,2,2,2,2,5,5,5,3,2,2,4,2,4,2,2,3,2,3,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),32,male,True,female,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,2,2,3
no_wb,gpt-oss-120b(Cerebras),35,female,False,male,female,2,2,2,2,2,2,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),46,female,False,female,male,2,2,2,2,2,2,4,4,4,2,2,2,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,4
no_wb,gpt-oss-120b(Cerebras),59,female,False,female,female,2,2,2,2,2,2,5,5,5,2,2,2,3,2,3,2,2,3,3,2,2,3,2,2,2,2,2,3
