condition,model,persona_age,persona_gender,persona_is_student,schmitt_gender,bauer_gender,deontic_1,deontic_2,deontic_3,prosocial_1,prosocial_2,prosocial_3,individualistic_1,individualistic_2,individualistic_3,competitive_1,competitive_2,competitive_3,humble,kind,forgiving,giving,helpful,grateful,empathetic,cooperative,courageous,fair,principled,responsible,just,honest,trustworthy,loyal
no_wb,gpt-4o-2024-08-06(OpenAI),47,female,False,male,male,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
no_wb,gpt-4o-2024-08-06(OpenAI),47,female,False,female,female,3,3,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
no_wb,gpt-4o-2024-08-06(OpenAI),52,male,False,male,male,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3
no_wb,gpt-4o-2024-08-06(OpenAI),61,male,False,female,female,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,4
no_wb,gpt-4o-2024-08-06(OpenAI),62,female,False,female,male,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3
no_wb,gpt-4o-2024-08-06(OpenAI),60,female,False,male,female,2,2,2,3,3,3,4,4,4,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3
no_wb,gpt-4o-2024-08-06(OpenAI),54,male,False,male,female,2,2,2,2,2,2,2,3,2,1,1,2,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3
no_wb,gpt-4o-2024-08-06(OpenAI),82,male,False,male,male,2,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3
no_wb,gpt-4o-2024-08-06(OpenAI),53,female,False,female,female,2,2,2,2,2,2,3,3,3,1,1,1,3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3
no_wb,gpt-4o-2024-08-06(OpenAI),64,male,False,male,male,2,2,2,2,2,2,3,3,3,1,1,1,3,2,3,3,2,3,3,2,2,2,2,1,2,2,2,3
